LineItem [description=A+, amount=135.0, type=Expense, date=Tue Sep 01 00:00:00 HST 2015] CalculatedFields [balance=500135.0, accruedInterest=27.404657534246574, runningAccruedInterest=27.404657534246574]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Sep 03 00:00:00 HST 2015] CalculatedFields [balance=500255.0, accruedInterest=13.705616438356165, runningAccruedInterest=41.11027397260274]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 04 00:00:00 HST 2015] CalculatedFields [balance=498830.0, accruedInterest=13.666575342465753, runningAccruedInterest=54.776849315068496]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Sep 05 00:00:00 HST 2015] CalculatedFields [balance=496337.0, accruedInterest=54.39309589041096, runningAccruedInterest=109.16994520547945]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Sep 09 00:00:00 HST 2015] CalculatedFields [balance=500337.0, accruedInterest=82.2471780821918, runningAccruedInterest=191.41712328767125]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Sep 15 00:00:00 HST 2015] CalculatedFields [balance=500587.0, accruedInterest=41.144136986301376, runningAccruedInterest=232.5612602739726]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 18 00:00:00 HST 2015] CalculatedFields [balance=499162.0, accruedInterest=27.351342465753426, runningAccruedInterest=259.912602739726]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Sep 20 00:00:00 HST 2015] CalculatedFields [balance=496669.0, accruedInterest=68.0368493150685, runningAccruedInterest=327.9494520547945]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Sep 25 00:00:00 HST 2015] CalculatedFields [balance=496799.0, accruedInterest=81.6655890410959, runningAccruedInterest=409.61504109589043]
LineItem [description=A+, amount=135.0, type=Expense, date=Thu Oct 01 00:00:00 HST 2015] CalculatedFields [balance=496934.0, accruedInterest=13.614630136986301, runningAccruedInterest=423.22967123287674]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 02 00:00:00 HST 2015] CalculatedFields [balance=495509.0, accruedInterest=13.57558904109589, runningAccruedInterest=436.80526027397264]
