LineItem [description=A+, amount=135.0, type=Expense, date=Tue Sep 01 00:00:00 HST 2015] CalculatedFields [balance=30135.0, accruedInterest=3.2859534246575346, runningAccruedInterest=3.2859534246575346]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Thu Sep 03 00:00:00 HST 2015] CalculatedFields [balance=30255.0, accruedInterest=0.0, runningAccruedInterest=3.2859534246575346]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Thu Sep 03 00:00:00 HST 2015] CalculatedFields [balance=32815.0, accruedInterest=1.789091780821918, runningAccruedInterest=5.075045205479452]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 04 00:00:00 HST 2015] CalculatedFields [balance=31390.0, accruedInterest=1.7114000000000003, runningAccruedInterest=6.786445205479453]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sat Sep 05 00:00:00 HST 2015] CalculatedFields [balance=28897.0, accruedInterest=6.301921095890411, runningAccruedInterest=13.088366301369863]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Wed Sep 09 00:00:00 HST 2015] CalculatedFields [balance=32897.0, accruedInterest=10.761374794520549, runningAccruedInterest=23.849741095890412]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Tue Sep 15 00:00:00 HST 2015] CalculatedFields [balance=33147.0, accruedInterest=5.421577808219179, runningAccruedInterest=29.27131890410959]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Sep 18 00:00:00 HST 2015] CalculatedFields [balance=31722.0, accruedInterest=3.4590016438356166, runningAccruedInterest=32.73032054794521]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Sun Sep 20 00:00:00 HST 2015] CalculatedFields [balance=29229.0, accruedInterest=7.967905479452055, runningAccruedInterest=40.69822602739727]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Fri Sep 25 00:00:00 HST 2015] CalculatedFields [balance=29359.0, accruedInterest=9.604012602739726, runningAccruedInterest=50.302238630137]
LineItem [description=A+, amount=135.0, type=Expense, date=Thu Oct 01 00:00:00 HST 2015] CalculatedFields [balance=29494.0, accruedInterest=1.6080290410958906, runningAccruedInterest=51.91026767123289]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 02 00:00:00 HST 2015] CalculatedFields [balance=28069.0, accruedInterest=1.5303372602739727, runningAccruedInterest=53.44060493150686]
LineItem [description=water/sewer, amount=120.0, type=Expense, date=Sat Oct 03 00:00:00 HST 2015] CalculatedFields [balance=28189.0, accruedInterest=0.0, runningAccruedInterest=53.44060493150686]
LineItem [description=mortgage, amount=2560.0, type=Expense, date=Sat Oct 03 00:00:00 HST 2015] CalculatedFields [balance=30749.0, accruedInterest=3.3529046575342467, runningAccruedInterest=56.79350958904111]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Mon Oct 05 00:00:00 HST 2015] CalculatedFields [balance=28256.0, accruedInterest=6.162130410958905, runningAccruedInterest=62.95564000000001]
LineItem [description=credit card, amount=4000.0, type=Expense, date=Fri Oct 09 00:00:00 HST 2015] CalculatedFields [balance=32256.0, accruedInterest=10.551688767123288, runningAccruedInterest=73.5073287671233]
LineItem [description=EA Buck, amount=250.0, type=Expense, date=Thu Oct 15 00:00:00 HST 2015] CalculatedFields [balance=32506.0, accruedInterest=1.7722449315068496, runningAccruedInterest=75.27957369863014]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 16 00:00:00 HST 2015] CalculatedFields [balance=31081.0, accruedInterest=6.7782126027397265, runningAccruedInterest=82.05778630136987]
LineItem [description=paycheck, amount=2493.0, type=Income, date=Tue Oct 20 00:00:00 HST 2015] CalculatedFields [balance=28588.0, accruedInterest=7.793167123287672, runningAccruedInterest=89.85095342465755]
LineItem [description=Electricity, amount=130.0, type=Expense, date=Sun Oct 25 00:00:00 HST 2015] CalculatedFields [balance=28718.0, accruedInterest=7.828605479452055, runningAccruedInterest=97.6795589041096]
LineItem [description=paycheck, amount=1425.0, type=Income, date=Fri Oct 30 00:00:00 HST 2015] CalculatedFields [balance=27293.0, accruedInterest=2.9760586301369867, runningAccruedInterest=100.65561753424659]
LineItem [description=A+, amount=135.0, type=Expense, date=Sun Nov 01 00:00:00 HST 2015] CalculatedFields [balance=27428.0, accruedInterest=2.990779178082192, runningAccruedInterest=103.64639671232878]
