Date,Description,Type,Amount,Outstanding Balance,Accrued Daily Interest,Interest Paid to Date
11/5/16,paycheck,Income,3192,71808,29.51013699,29.51013699
11/9/16,credit card,Expense,5120,76928,86.93917808,116.4493151
11/20/16,paycheck,Income,3192,73736,113.6342466,230.0835616
12/5/16,paycheck,Income,3192,70544,28.99068493,259.0742466
12/9/16,credit card,Expense,5120,75664,85.51068493,344.5849315
12/20/16,paycheck,Income,3192,72472,119.1320548,463.7169863
1/5/17,paycheck,Income,3192,69280,28.47123288,492.1882192
1/9/17,credit card,Expense,5120,74400,84.08219178,576.270411
1/20/17,paycheck,Income,3192,71208,117.0542466,693.3246575
2/5/17,paycheck,Income,3192,68016,27.95178082,721.2764384
2/9/17,credit card,Expense,5120,73136,82.65369863,803.930137
2/20/17,paycheck,Income,3192,69944,93.41835616,897.3484932
3/5/17,paycheck,Income,3192,66752,27.43232877,924.7808219
3/9/17,credit card,Expense,5120,71872,81.22520548,1006.006027
3/20/17,paycheck,Income,3192,68680,112.8986301,1118.904658
4/5/17,paycheck,Income,3192,65488,26.91287671,1145.817534
4/9/17,credit card,Expense,5120,70608,79.79671233,1225.614247
4/20/17,paycheck,Income,3192,67416,103.8945205,1329.508767
5/5/17,paycheck,Income,3192,64224,26.39342466,1355.902192
5/9/17,credit card,Expense,5120,69344,78.36821918,1434.270411
5/20/17,paycheck,Income,3192,66152,108.7430137,1543.013425
6/5/17,paycheck,Income,3192,62960,25.8739726,1568.887397
6/9/17,credit card,Expense,5120,68080,76.93972603,1645.827123
6/20/17,paycheck,Income,3192,64888,99.99863014,1745.825753
7/5/17,paycheck,Income,3192,61696,25.35452055,1771.180274
7/9/17,credit card,Expense,5120,66816,75.51123288,1846.691507
7/20/17,paycheck,Income,3192,63624,104.5873973,1951.278904
8/5/17,paycheck,Income,3192,60432,24.83506849,1976.113973
8/9/17,credit card,Expense,5120,65552,74.08273973,2050.196712
8/20/17,paycheck,Income,3192,62360,102.509589,2152.706301
9/5/17,paycheck,Income,3192,59168,24.31561644,2177.021918
9/9/17,credit card,Expense,5120,64288,72.65424658,2249.676164
9/20/17,paycheck,Income,3192,61096,94.15479452,2343.830959
10/5/17,paycheck,Income,3192,57904,23.79616438,2367.627123
10/9/17,credit card,Expense,5120,63024,71.22575342,2438.852877
10/20/17,paycheck,Income,3192,59832,98.3539726,2537.206849
